plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
3,39,D03,NA,0.576,0.057,NM_012382,OSRF,0.3165,0,L243
10,68,F08,0.175,-0.07,0.058,siControl,siControl,0.058,0,L243
5,30,C06,-0.037,0.168,0.06,NM_002442,MSI1,0.06,0,L243
9,14,B02,-0.769,-0.043,0.069,wt,wt,-0.043,0,L243
3,44,D08,-0.237,0.836,0.073,NM_013252,CLECSF5,0.073,0,L243
10,63,F03,-1.74,0.538,0.077,NM_080861,SSB3,0.077,0,L243
5,24,B12,-0.523,0,0.079,siControl,siControl,0,0,L243
5,66,F06,-0.67,0.647,0.079,NM_178471,GPR119,0.079,0,L243
7,42,D06,0.131,-0.546,0.082,siControl,siControl,0.082,0,L243
7,58,E10,0.067,-0.253,0.082,NM_001001330,C10ORF74,0.067,0,L243
8,16,B04,-1.098,0.016,0.084,siControl,siControl,0.016,0,L243
5,74,G02,-0.837,-0.685,0.099,wt,wt,-0.685,0,L243
11,3,A03,0.301,-0.11,0.1,siControl,siControl,0.1,0,L243
1,3,A03,0.571,0.029,0.105,siControl,siControl,0.105,0,L243
10,49,E01,-1.342,0.129,0.106,siDM,siDM,0.106,0,L243
9,38,D02,-0.733,0.207,0.107,wt,wt,0.107,0,L243
6,49,E01,-1.187,-0.468,0.11,siDM,siDM,-0.468,0,L243
11,29,C05,0.427,-0.057,0.11,siControl,siControl,0.11,0,L243
7,24,B12,-0.109,0.046,0.111,siControl,siControl,0.046,0,L243
1,34,C10,-0.219,0.664,0.113,NM_178508,MGC57858,0.113,0,L243
8,86,H02,-0.634,-0.156,0.114,wt,wt,-0.156,0,L243
12,16,B04,-0.025,-0.26,0.124,siControl,siControl,-0.025,0,L243
4,32,C08,-0.297,NA,0.131,NM_182904,P4HA3,-0.083,0,L243
10,33,C09,-0.183,0.398,0.134,XM_372303,LOC389936,0.134,0,L243
12,17,B05,-0.421,-0.392,0.146,XM_378184,KIAA1383,-0.392,0,L243
9,39,D03,-1.259,0.845,0.146,NM_199265,THSD3,0.146,0,L243
11,56,E08,0.16,0.388,0.149,XM_375185,FMN,0.16,0,L243
6,85,H01,-0.976,-0.403,0.157,siDM,siDM,-0.403,0,L243
12,77,G05,-0.321,-0.088,0.157,NM_138284,IL17D,-0.088,0,L243
6,29,C05,0.3,-0.03,0.157,siControl,siControl,0.157,0,L243
8,38,D02,-0.487,-0.56,0.162,wt,wt,-0.487,0,L243
5,29,C05,-0.082,-0.043,0.166,siControl,siControl,-0.043,0,L243
2,94,H10,0.301,-0.12,0.167,siControl,siControl,0.167,0,L243
1,81,G09,0.148,-0.072,0.169,siControl,siControl,0.148,0,L243
10,24,B12,-0.161,-0.183,0.172,siControl,siControl,-0.161,0,L243
12,33,C09,-0.632,-0.481,0.18,wt,wt,-0.481,0,L243
12,61,F01,-0.982,-0.459,0.18,siDM,siDM,-0.459,0,L243
8,41,D05,-0.387,-0.016,0.181,NM_199005,ZNF322B,-0.016,0,L243
9,50,E02,-0.684,-0.373,0.184,wt,wt,-0.373,0,L243
9,55,E07,0.186,-0.315,0.184,siControl,siControl,0.184,0,L243
9,63,F03,-0.834,0.509,0.184,NM_004256,SLC22A13,0.184,0,L243
5,70,F10,-1.159,-0.107,0.185,NM_178471,GPR119,-0.107,0,L243
5,3,A03,0,0.647,0.185,siControl,siControl,0.185,0,L243
10,81,G09,0.55,-0.131,0.191,siControl,siControl,0.191,0,L243
8,74,G02,-0.301,0.214,0.191,wt,wt,0.191,0,L243
6,50,E02,-0.857,-0.698,0.193,wt,wt,-0.698,0,L243
11,94,H10,0.332,0.378,0.198,siControl,siControl,0.332,0,L243
