GeneSymbol,MedianCLIP,MedianL243,selectedMedian
TBC1D15,0.116,-0.271,0.271
TBC1D16,-0.442,-0.763,0.763
TBC1D17,0.645,2.638,2.638
TBC1D2,-0.377,-0.749,0.749
TBC1D3,-1.342,-1.606,1.606
TBC1D4,1.068,-0.256,1.068
TBC1D5,1.172,1.0015,1.172
TBC1D7,-1.0750000000000002,-1.947,1.947
TBC1D8,0.6495,0.6875,0.6875
TBL1Y,0.227,0.139,0.227
TBL2,-0.881,-2.0765000000000002,2.0765000000000002
TBL3,-0.624,-1.475,1.475
TBN,-0.213,-1.985,1.985
TBPL2,1.33,-0.52,1.33
TBRG1,0.538,-0.338,0.538
TBX10,0.572,0.623,0.623
TBX15,-0.39649999999999996,-0.625,0.625
TBX20,-0.4775,-1.8039999999999998,1.8039999999999998
TBXA2R,1.475,0.975,1.475
TCBA1,0.994,-1.295,1.295
TCEB3BP1,0.397,-0.498,0.498
TCEB3C,0.702,1.233,1.233
TCERG1L,0.6,-0.216,0.6
TCL6,0.10350000000000001,-0.0985,0.10350000000000001
TCN1,1.0090000000000001,1.959,1.959
TCP10,0.964,6.433,6.433
TCP10L,0.02,-0.077,0.077
TCP11,0.06800000000000006,0.03049999999999997,0.06800000000000006
TCTE1L,-0.5005,-0.323,0.5005
TCTE3,-0.1985,0.257,0.257
TD-60,-1.166,-0.402,1.166
TDE2,-0.752,0.257,0.752
TDE2L,2.064,0.531,2.064
TDG,1.8170000000000002,1.5595,1.8170000000000002
TDO2,-0.06999999999999995,0.08150000000000002,0.08150000000000002
TDRD1,-0.67,2.029,2.029
TDRD3,0.632,0.833,0.833
TDRD4,-1.2745,-1.458,1.458
TDRD5,-0.427,1.332,1.332
TDRD6,2.463,0,2.463
TDRD9,-0.133,0.403,0.403
TDRKH,0.5670000000000001,0.5840000000000001,0.5840000000000001
TEAD2,0.2260000000000001,-0.8069999999999999,0.8069999999999999
TECTB,0.20849999999999996,2.199,2.199
TEKT1,-0.433,-0.338,0.433
TEKT2,-1.0035,-0.5155000000000001,1.0035
TEKT3,0.409,0.685,0.685
TENR,-1.248,-1.045,1.248
TENS1,1.121,0.015,1.121
TEPP,0.534,-0.2615,0.534
TERE1,0.523,-0.637,0.637
TES,0.49,-0.0335,0.49
TESSP1,0.18,-0.129,0.18
TESSP2,0.315,-0.145,0.315
TESSP5,-1.301,-1.43,1.43
TETRAN,-0.31899999999999995,0.433,0.433
TEX10,0.14350000000000002,0.499,0.499
TEX11,-0.974,0.991,0.991
TEX12,-1.508,-1.059,1.508
TEX13A,-0.831,0.761,0.831
TEX13B,-1.315,-0.024,1.315
TEX15,-0.899,1.683,1.683
TEX261,-0.804,-0.577,0.804
TEX27,-1.301,-0.745,1.301
TEX9,-0.938,0.054,0.938
TFCP2L1,0.31649999999999995,1.677,1.677
TFCP2L2,1.2875,0.3295,1.2875
TFCP2L3,0.053,-0.637,0.637
TFF1,-0.852,-0.1,0.852
TFF2,-0.5445,-0.627,0.627
TFF3,-1.184,-0.3655,1.184
TFIP11,-1.347,1.982,1.982
TGDS,-0.4435,0.16149999999999998,0.4435
TGM3,-0.8225,0.515,0.8225
